200_density,200_grad,400_density,400_grad,600_density,600_grad,800_density,800_grad,1000_density,1000_grad,1400_density,1400_grad,1800_density,1800_grad,2200_density,2200_grad,2600_density,2600_grad,seeds,cx,cy,dipole
8656.93303,112.2188255,7597.341244,70.00796776,7041.797754,44.19752026,7265.171755,42.11488835,7931.179657,43.05386512,9357.020373,40.81260709,10715.25379,39.16787149,12088.08867,38.28499204,13368.23758,36.75167847,3,1075,2675,0.009338995
8656.93303,112.2188255,7611.521379,67.57984898,7140.335794,37.31678815,7536.277455,38.26842594,8386.931213,42.05407269,10089.17118,41.6687723,11651.16579,40.66550598,13123.98494,39.66147452,14406.29518,37.68245535,3,1075,3075,0.03097928
7391.419336,80.1077443,4215.056702,13.49768375,4638.139568,35.61309546,6278.532303,46.01026684,8048.149879,48.10407013,11146.4202,47.66696058,13602.0055,46.22913742,15450.36451,43.32276866,16751.7349,39.49841884,3,1075,4275,0.055078706
7590.690018,75.73990345,6942.516611,95.25534967,7384.879493,74.44879525,8365.924466,67.54857464,9861.872469,64.89398339,12900.93681,58.66666819,15294.05101,51.93827582,16943.45854,45.58234135,18011.3287,40.09926773,3,1275,6275,0.023476675
7582.769376,76.46092024,5505.440377,46.36769125,5126.986,42.22902042,5316.481195,40.38219347,5820.748546,40.63791854,7421.049149,42.61851322,9131.239665,42.06658388,10666.51744,39.93494733,11996.08287,37.33883094,3,1475,8875,0
7563.280455,74.61600385,7232.87452,43.7581834,8506.088443,11.74497908,9879.14688,24.5194045,10982.1013,32.200014,12400.58228,35.93222617,13686.78053,38.3678536,14991.52799,38.94923905,16136.94534,37.44525052,3,1675,2875,0.017327852
15163.87589,313.5801622,12394.23099,62.78068023,12026.78974,43.78951612,13111.85867,53.73758325,14511.35914,55.61302413,17118.10035,52.44462911,18979.38247,46.55958883,20138.88753,41.2563162,20803.35781,36.70327439,3,1875,6275,0.23183353
16835.05874,258.8600676,12592.36487,51.01171929,11980.56963,45.60846211,12981.64471,55.12411767,14377.53957,56.5362464,16951.28908,52.9329535,18729.32917,46.92089879,19842.05699,41.6192065,20502.54435,37.0823345,3,1875,6475,0.342034762
7607.054821,74.73905004,7155.82289,25.69820138,7847.978744,37.05754549,8210.676568,40.8525567,8907.874217,45.82612003,10675.77843,48.84892278,12272.24415,46.4992576,13597.28519,42.87858935,14704.15261,39.24131296,3,1875,8475,0.068832707
16778.0345,263.4787873,12036.61467,63.48380069,11034.38546,35.35627187,11892.73843,29.57469835,13504.47482,31.08462361,16937.78248,37.67780523,19452.77112,39.29457002,20975.85826,37.45172896,21780.28409,34.24146961,3,2075,4675,0.406871088
