d200,g200,d400,g400,d600,g600,d800,g800,d1000,g1000,Dipole
12569.750538343143,299.9096195184658,15206.12455220318,190.9983354158044,18516.581353139394,177.51954645304693,23320.73290524512,190.6351507272182,28067.155154810174,192.44041703977163,0.6546043738057977
21652.258103001182,407.670313928599,25964.20445333184,305.4509232253886,30795.914911502,236.28633592733595,35669.05765431321,209.09657223510456,40262.81668742617,201.45623346146817,0.2462886210059593
21974.051582245625,358.7235569769168,29766.18088620971,301.62130000923537,33649.694392357924,237.48383817812635,37427.49574639372,207.40979287986173,41439.88343101947,200.1942720173604,0.0804161653935737
24660.57780837257,453.9838523613145,33561.981431063185,318.609252941372,37090.41389438086,236.7860754611344,39331.76317544568,204.79428455121996,42527.73788252277,199.7664629371988,0.0184375332334325
23792.642285163496,310.4065487962945,33234.85579108172,335.3427703131963,37008.456975205794,244.53429364406168,39129.7244479565,208.015262361819,42343.03296578824,201.65415381418487,0.0
21255.611039384414,230.59613626938585,31183.09213023689,349.2652444723594,35503.931588578394,257.6046602923494,38069.54385562508,214.53055209531956,41671.26172434244,204.7572217380105,0.1351063766302338
17811.58672858309,280.2368939113413,27582.64184274736,348.8573049393036,32674.01655416867,268.951182527911,36235.9739414092,221.40011081124337,40572.314453846426,208.16805218062623,0.1880034658214589
9047.198398402055,144.2763701465685,13209.813339131568,223.66613540108503,20778.1356715449,223.1391230714089,28580.768248137887,214.3986231327799,35932.6892956251,211.3544842641416,0.387975557078747
15240.125780736613,339.8168474359921,14144.18833449029,183.21870472753693,17640.928212899835,194.99998981260623,23964.25002090449,216.0465031046253,30449.951495186902,217.8725552117843,0.8907852905129832
8437.881478168145,99.07109676917084,10987.475163388255,183.2851736136966,13101.387504399563,152.91343713462953,15366.511225157104,144.59915350472866,18063.017772763094,145.10323758186007,0.0037439904006402
10523.585525576504,184.65449781844015,11676.365797209775,174.9316220300666,15116.439817432063,174.54705206897984,18950.564474112583,178.8920987147589,22879.130416500157,178.1677823748403,0.0342602934842889
18118.20705786277,295.8205553670904,18693.359153398174,122.9002922176748,23938.6227942579,163.92606846590485,29785.198452124776,190.01945274650885,34762.347806498896,193.74712801448257,0.7101321883184188
20909.1428734236,375.2678694653549,25503.504490226933,226.39611386455925,31895.03119777314,179.1373277085266,38078.75126383771,180.82542371680304,43339.10203519894,186.52303681701727,0.6672660127441346
