 ,XM,YM,BX,BY,Width,Height
1,2993.604,353.666,2958.151,260.000,71.500,207.350
2,2616.486,362.567,2578.551,274.950,75.400,185.900
3,2191.657,374.522,2149.551,275.600,115.050,200.200
4,1801.586,398.023,1763.451,276.250,85.150,215.150
5,1388.121,410.170,1334.450,277.550,93.600,232.700
6,2819.273,368.319,2775.501,277.550,91.650,182.650
7,3195.024,354.420,3159.651,288.600,65.650,145.600
8,1980.443,386.856,1948.701,302.900,70.200,167.050
9,1184.186,403.634,1140.100,303.550,74.100,199.550
10,1592.825,415.573,1554.801,305.500,78.000,194.350
11,955.299,419.514,908.050,306.150,104.650,215.150
12,2380.135,385.627,2328.951,323.700,97.500,140.400
13,747.258,493.072,656.500,424.450,169.650,156.650
14,2620.632,501.033,2584.401,445.900,77.350,105.950
15,2419.945,486.827,2377.701,449.150,87.100,72.800
16,2966.913,497.323,2906.151,457.600,111.800,85.150
17,2239.316,509.445,2182.051,464.750,114.400,91.000
18,1994.248,518.790,1961.701,467.350,67.600,99.450
19,2840.526,520.939,2782.651,481.000,143.650,79.300
20,1177.495,526.832,1135.550,484.900,83.850,79.300
21,1597.535,529.085,1555.451,492.050,85.800,72.150
22,1769.252,542.288,1721.201,495.300,92.950,89.050
23,1395.199,547.599,1350.700,512.200,88.400,70.850
24,975.646,556.036,895.050,518.050,135.200,76.050
25,3455.889,651.004,3405.351,573.300,87.750,144.300
26,2998.232,650.533,2965.301,594.750,66.950,108.550
27,784.025,694.891,750.100,599.950,60.450,174.850
28,2835.233,656.529,2800.851,603.850,68.250,102.050
29,3225.936,649.658,3173.951,605.150,110.500,94.900
30,582.319,711.038,544.050,622.700,66.950,194.350
31,1812.832,698.113,1771.901,654.550,83.200,89.050
32,2593.189,703.277,2556.451,654.550,73.450,98.800
33,2412.863,700.616,2377.051,658.450,72.800,89.050
34,1974.787,703.015,1938.951,661.050,69.550,87.750
35,2204.755,721.200,2174.251,676.650,63.700,91.000
36,1587.639,733.250,1547.001,690.950,82.550,87.100
37,981.703,751.680,943.150,712.400,74.100,83.200
38,1387.349,760.945,1352.000,713.700,72.150,98.150
39,1190.902,759.302,1159.600,716.950,61.750,88.400
40,3227.295,766.143,3183.051,724.100,87.100,84.500
41,3451.370,778.846,3365.701,734.500,191.750,90.350
42,1995.309,783.309,1961.051,742.300,68.900,83.200
43,2369.815,782.954,2335.451,748.800,65.000,69.550
44,3027.585,802.411,2988.051,750.100,78.000,105.300
45,2178.428,790.310,2141.101,757.900,74.100,61.750
46,2806.305,805.670,2774.201,765.700,62.400,78.000
47,1797.992,816.937,1762.151,768.950,70.850,94.250
48,2607.890,806.539,2577.251,770.900,68.250,70.200
49,1577.399,810.720,1537.251,773.500,78.650,75.400
50,764.740,847.188,720.200,791.700,91.000,107.250
51,542.842,827.865,441.350,794.300,169.650,76.050
52,990.358,836.472,948.350,796.250,81.250,80.600
53,1210.704,854.549,1168.050,805.350,87.750,94.900
54,1390.302,853.278,1355.250,809.250,68.900,85.800
55,3453.715,920.967,3389.101,852.800,167.700,157.300
56,3243.920,938.930,3196.051,905.450,98.150,63.050
