xInit,yInit,colorInit,xPheno,yPheno,colorPheno
2400,600,m,955.299,419.514,m
3000,600,m,1184.186,403.634,m
3600,600,m,1388.121,410.17,m
4200,600,m,1592.825,415.573,m
4800,600,m,1801.586,398.023,m
5400,600,m,1980.443,386.856,m
6000,600,m,2191.657,374.522,m
6600,600,m,2380.135,385.627,m
7200,600,m,2616.486,362.567,m
7800,600,m,2819.273,368.319,m
8400,600,m,2993.604,353.666,m
9000,600,m,3195.024,354.42,m
1800,850,g,747.258,493.072,g
2400,850,g,975.646,556.036,g
3000,850,g,1177.495,526.832,g
3600,850,g,1395.199,547.599,g
4200,850,g,1597.535,529.085,g
4800,850,g,1769.252,542.288,g
5400,850,g,1994.248,518.79,g
6000,850,g,2239.316,509.445,g
6600,850,g,2419.945,486.827,g
7200,850,g,2620.632,501.033,g
7800,850,g,2840.526,520.939,g
8400,850,g,2966.913,497.323,g
1200,1450,b,582.319,711.038,b
1800,1450,b,784.025,694.891,b
2400,1450,b,981.703,751.68,b
3000,1450,b,1190.902,759.302,b
3600,1450,b,1387.349,760.945,b
4200,1450,b,1587.639,733.25,b
4800,1450,b,1812.832,698.113,b
5400,1450,b,1974.787,703.015,b
6000,1450,b,2204.755,721.2,b
6600,1450,b,2412.863,700.616,b
7200,1450,b,2593.189,703.277,b
7800,1450,b,2835.233,656.529,b
8400,1450,b,2998.232,650.533,b
9000,1450,b,3225.936,649.658,b
9600,1450,b,3455.889,651.004,b
1200,1700,y,542.842,827.865,y
1800,1700,y,764.74,847.188,y
2400,1700,y,990.358,836.472,y
3000,1700,y,1210.704,854.549,y
3600,1700,y,1390.302,853.278,y
4200,1700,y,1577.399,810.72,y
4800,1700,y,1797.992,816.937,y
5400,1700,y,1995.309,783.309,y
6000,1700,y,2178.428,790.31,y
6600,1700,y,2369.815,782.954,y
7200,1700,y,2607.89,806.539,y
7800,1700,y,2806.305,805.67,y
8400,1700,y,3027.585,802.411,y
9000,1700,y,3227.295,766.143,y
9600,1700,y,3451.37,778.846,y
600,2300,r,383.111,1009.218,r
1200,2300,r,608.014,1023.246,r
1800,2300,r,763.555,1020.394,r
2400,2300,r,998.568,1035.136,r
3000,2300,r,1204.628,1021.745,r
3600,2300,r,1397.041,987.202,r
4200,2300,r,1575.97,1003.239,r
4800,2300,r,1807.497,1018.628,r
5400,2300,r,2003.018,988.154,r
6000,2300,r,2190.431,1002.771,r
6600,2300,r,2412.669,981.193,r
7200,2300,r,2609.278,978.953,r
7800,2300,r,2830.995,975.697,r
8400,2300,r,3027.997,983.652,r
9000,2300,r,3243.92,938.93,r
9600,2300,r,3453.715,920.967,r
600,2550,m,365.114,1110.01,m
1200,2550,m,589.513,1135.266,m
1800,2550,m,768.395,1119.232,m
2400,2550,m,989.884,1132.728,m
3000,2550,m,1199.605,1117.424,m
3600,2550,m,1408.901,1101.567,m
4200,2550,m,1581.655,1105.211,m
4800,2550,m,1819.509,1104.423,m
5400,2550,m,2017.636,1091.269,m
6000,2550,m,2192.81,1090.625,m
6600,2550,m,2383.713,1086.181,m
7200,2550,m,2590.663,1068.263,m
7800,2550,m,2822.323,1080.243,m
8400,2550,m,3043.523,1062.489,m
9000,2550,m,3220.092,1076.403,m
9600,2550,m,3476.088,1090.934,m
600,3150,g,407.428,1300.232,g
1200,3150,g,570.264,1300.45,g
1800,3150,g,781.814,1323.989,g
2400,3150,g,995.236,1304.188,g
3000,3150,g,1185.643,1298.843,g
3600,3150,g,1415.84,1294.282,g
4200,3150,g,1626.81,1277.59,g
4800,3150,g,1815.905,1294.255,g
5400,3150,g,2005.056,1292.931,g
6000,3150,g,2212.868,1281.053,g
6600,3150,g,2433.05,1261.407,g
7200,3150,g,2612.682,1246.753,g
7800,3150,g,2846.744,1257.667,g
8400,3150,g,3004.709,1239.231,g
9000,3150,g,3209.408,1244.419,g
9600,3150,g,3458.629,1219.086,g
600,3400,b,368.645,1399.758,b
1200,3400,b,610.071,1432.526,b
1800,3400,b,818.736,1396.499,b
2400,3400,b,995.391,1384.782,b
3000,3400,b,1191.091,1381.606,b
3600,3400,b,1421.906,1373.481,b
4200,3400,b,1588.56,1382.343,b
4800,3400,b,1801.243,1383.704,b
5400,3400,b,1992.528,1386.12,b
6000,3400,b,2216.547,1355.316,b
6600,3400,b,2410.341,1369.546,b
7200,3400,b,2625.338,1375.381,b
7800,3400,b,2833.239,1341.583,b
8400,3400,b,3011.19,1354.251,b
9000,3400,b,3270.959,1327.724,b
9600,3400,b,3470.285,1332.772,b
600,4000,y,367.685,1596.028,y
1200,4000,y,607.504,1614.744,y
